class_num, s, class, url
110, 8, fco, https://i.seadn.io/gcs/files/86bde8d69f0bcad7adeed311c1729e50.png?auto=format&w=384
111, 8, fco, https://i.seadn.io/gcs/files/4aea354c6fcba26d1f14948bd182f992.png?auto=format&w=384
112, 8, fco, https://i.seadn.io/gcs/files/d0de483dd74f4c76db5d48343b9a4075.png?auto=format&w=384
113, 8, fco, https://i.seadn.io/gcs/files/ebadf757325e2b3834628b99b7aec3b9.png?auto=format&w=384
114, 8, fco, https://i.seadn.io/gcs/files/db3cc136b4d65b33d2f58ef97a8f35a5.png?auto=format&w=384
115, 8, fco, https://i.seadn.io/gcs/files/eeca1f39a17bf450edca92fec24fa8e8.png?auto=format&w=384
116, 8, fco, https://i.seadn.io/gcs/files/b2c7fc5e9b3cb18f6f85cca808aaed90.png?auto=format&w=384
117, 8, fco, https://i.seadn.io/gcs/files/de639860564153a2d9bd0c6ba7c80e88.png?auto=format&w=384
118, 8, fco, https://i.seadn.io/gcs/files/093a705f05388db9e6715d9143f2704e.png?auto=format&w=384
119, 8, fco, https://i.seadn.io/gcs/files/34db4f63705a3f0c79d461a5b0736dc4.png?auto=format&w=384
120, 8, fco, https://i.seadn.io/gcs/files/6eda35a602a745c0796094e9133d1963.png?auto=format&w=384
101, 9, fco, https://i.seadn.io/gcs/files/a3f983ad2e71e427424e8a4e7e7b1e62.png?auto=format&w=384
102, 9, fco, https://i.seadn.io/gcs/files/a333da40fea8afc5c0c6ff3d486daf2d.png?auto=format&w=384
103, 9, fco, https://i.seadn.io/gcs/files/17f23e3d5be1e62dff0c0af559c2b7ee.png?auto=format&w=384
104, 9, fco, https://i.seadn.io/gcs/files/b33a75aa7acec4f6e097f4a08c9dcbf0.png?auto=format&w=384
105, 9, fco, https://i.seadn.io/gcs/files/67d2b824a09a9accd8796474a670fa7b.png?auto=format&w=384
106, 9, fco, https://i.seadn.io/gcs/files/1060736d42779a39c2921aec706ade50.png?auto=format&w=384
